tariff_id,date,year,month,imposing_country,target_country,policy_name,tariff_rate_pct,estimated_value_usd_bn,description,is_trump_1_0,is_biden,is_trump_2_0,is_retaliation,is_section_232,is_section_301,is_ieepa
T001,2018-01-22,2018,1,US,Global,Section_201_solar_washers,30.0,8.5,"30% solar panels, 20% washing machines",1,0,0,0,0,0,0
T002,2018-03-08,2018,3,US,Global,Section_232_steel_alum,25.0,30.0,"25% steel, 10% aluminum globally",1,0,0,0,1,0,0
T003,2018-04-02,2018,4,China,US,Retaliation_round_1,15.0,3.0,"Aluminum scrap, pork, wine",1,0,0,1,0,0,0
T004,2018-06-15,2018,6,US,China,Section_301_list_1,25.0,34.0,25% on $34B Chinese goods,1,0,0,0,0,1,0
T005,2018-07-06,2018,7,US,China,Section_301_list_1_active,25.0,34.0,List 1 effective,1,0,0,0,0,1,0
T006,2018-07-06,2018,7,China,US,Retaliation_list_1,25.0,34.0,"Soybeans, cars, seafood",1,0,0,1,0,0,0
T007,2018-08-23,2018,8,US,China,Section_301_list_2,25.0,16.0,25% on additional $16B,1,0,0,0,0,1,0
T008,2018-08-23,2018,8,China,US,Retaliation_list_2,25.0,16.0,"Chemicals, autos",1,0,0,1,0,0,0
T010,2018-09-24,2018,9,China,US,Retaliation_list_3,5.0,60.0,5-10% on $60B,1,0,0,1,0,0,0
T009,2018-09-24,2018,9,US,China,Section_301_list_3,10.0,200.0,"10% on $200B, to rise 25% in 2019",1,0,0,0,0,1,0
T011,2019-05-10,2019,5,US,China,List_3_hike_25,25.0,200.0,List 3 hiked to 25%,1,0,0,0,0,0,0
T012,2019-08-01,2019,8,US,China,Section_301_list_4a,15.0,112.0,15% on $112B announced,1,0,0,0,0,1,0
T013,2019-09-01,2019,9,US,China,List_4a_active,15.0,112.0,List 4A effective,1,0,0,0,0,0,0
T014,2019-12-15,2019,12,US,China,List_4b_suspended,0.0,0.0,List 4B suspended pre-Phase 1,1,0,0,0,0,0,0
T015,2020-01-15,2020,1,US,China,Phase_1_deal_signed,0.0,0.0,$200B purchase commitment,1,0,0,0,0,0,0
T016,2020-02-14,2020,2,US,China,List_4a_reduced_7_5,7.5,112.0,List 4A reduced to 7.5%,1,0,0,0,0,0,0
T017,2020-05-15,2020,5,China,Australia,Barley_tariff,80.0,0.6,80.5% antidumping on Australian barley,1,0,0,0,0,0,0
T018,2020-11-30,2020,11,China,Australia,Wine_tariff,212.0,1.2,Up to 212% on Australian wine,1,0,0,0,0,0,0
T019,2021-03-05,2021,3,US,EU,Airbus_Boeing_truce,0.0,0.0,5-year tariff suspension,0,1,0,0,0,0,0
T020,2021-10-30,2021,10,US,EU,Steel_alum_deal,0.0,0.0,Section 232 quotas replace tariffs,0,1,0,0,0,0,0
T021,2022-03-22,2022,3,US,Russia,MFN_revoked,35.0,17.0,Russia loses MFN trade status,0,1,0,0,0,0,0
T022,2022-06-06,2022,6,US,Solar_imports,AD_investigation,0.0,0.0,Anti-dumping investigation announced,0,1,0,0,0,0,0
T023,2022-08-16,2022,8,US,Global,IRA_signed,0.0,0.0,"Inflation Reduction Act, EV subsidies",0,1,0,0,0,0,0
T024,2023-02-24,2023,2,US,Russia,Anniversary_tariffs,35.0,12.0,Additional tariffs on Russian metals,0,1,0,0,0,0,0
T025,2023-05-15,2023,5,US,China,Section_301_review,0.0,0.0,USTR begins 4-year statutory review,0,1,0,0,0,1,0
T026,2023-09-28,2023,9,EU,China,EV_antidumping_probe,0.0,0.0,EU begins anti-subsidy investigation,0,1,0,0,0,0,0
T027,2024-05-14,2024,5,US,China,Biden_EV_tariff_100,100.0,0.0,"EV tariff to 100%, solar 50%, lithium 25%",0,1,0,0,0,0,0
T028,2024-07-04,2024,7,EU,China,EV_provisional_duties,37.6,0.0,Up to 37.6% EV provisional duties,0,1,0,0,0,0,0
T029,2024-10-29,2024,10,EU,China,EV_definitive_duties,45.3,0.0,Definitive duties up to 45.3%,0,1,0,0,0,0,0
T030,2025-01-20,2025,1,US,Global,Trump_inauguration_threat,0.0,0.0,Tariff threats Day 1,0,0,1,0,0,0,0
T031,2025-02-01,2025,2,US,Mexico,IEEPA_signed_25pct,25.0,0.0,IEEPA tariffs Mexico,0,0,1,0,0,0,1
T032,2025-02-01,2025,2,US,Canada,IEEPA_signed_25pct,25.0,0.0,IEEPA tariffs Canada (10% energy),0,0,1,0,0,0,1
